datetime,time_days,flux
2020-01-01 00:00:00,0.0,1.001242
2020-01-01 00:10:00,0.006944,0.999695
2020-01-01 00:20:00,0.013889,1.001701
2020-01-01 00:30:00,0.020833,1.00393
2020-01-01 00:40:00,0.027778,0.999577
2020-01-01 00:50:00,0.034722,0.999618
2020-01-01 01:00:00,0.041667,1.004192
2020-01-01 01:10:00,0.048611,1.002204
2020-01-01 01:20:00,0.055556,0.999152
2020-01-01 01:30:00,0.0625,1.001723
2020-01-01 01:40:00,0.069444,0.999248
2020-01-01 01:50:00,0.076389,0.999283
2020-01-01 02:00:00,0.083333,1.001093
2020-01-01 02:10:00,0.090278,0.995746
2020-01-01 02:20:00,0.097222,0.996257
2020-01-01 02:30:00,0.104167,0.999204
2020-01-01 02:40:00,0.111111,0.998119
2020-01-01 02:50:00,0.118056,1.001477
2020-01-01 03:00:00,0.125,0.998462
2020-01-01 03:10:00,0.131944,0.997241
2020-01-01 03:20:00,0.138889,1.004477
2020-01-01 03:30:00,0.145833,1.000289
2020-01-01 03:40:00,0.152778,1.001062
2020-01-01 03:50:00,0.159722,0.997372
2020-01-01 04:00:00,0.166667,0.999613
2020-01-01 04:10:00,0.173611,1.001292
2020-01-01 04:20:00,0.180556,0.998177
2020-01-01 04:30:00,0.1875,1.002034
2020-01-01 04:40:00,0.194444,0.999634
2020-01-01 04:50:00,0.201389,1.000446
2020-01-01 05:00:00,0.208333,0.999711
2020-01-01 05:10:00,0.215278,1.005886
2020-01-01 05:20:00,0.222222,1.001262
2020-01-01 05:30:00,0.229167,0.998691
2020-01-01 05:40:00,0.236111,1.003432
2020-01-01 05:50:00,0.243056,0.998363
2020-01-01 06:00:00,0.25,1.001978
2020-01-01 06:10:00,0.256944,0.996596
2020-01-01 06:20:00,0.263889,0.998214
2020-01-01 06:30:00,0.270833,1.002067
2020-01-01 06:40:00,0.277778,1.00346
2020-01-01 06:50:00,0.284722,1.002082
2020-01-01 07:00:00,0.291667,1.001404
2020-01-01 07:10:00,0.298611,1.00098
2020-01-01 07:20:00,0.305556,0.998076
